x,y,cadmium,copper,lead,zinc,elev,dist,om,ffreq,soil,lime,landuse,dist.m
5.7306652935685545,50.96698272154304,3.5,46,252,676,6.48,0.12481,6.2,1,1,1,Ab,130
5.729768293474213,50.966958412488005,4.7,55,315,793,6.48,0.103024,6.5,1,1,0,W,110
5.728933552746458,50.9657294057473,3.9,49,260,685,6.32,0.157469,5.7,1,1,0,W,200
5.730401781206402,50.96600371736143,3.1,39,237,593,6.32,0.200976,7,1,1,1,Ah,260
5.729283954590776,50.96499128457888,2.9,45,228,549,6.16,0.200976,7.3,1,1,0,W,270
5.730180114908163,50.96490773349151,3.9,48,241,680,6.56,0.26622,8.2,1,1,0,W,320
5.72964504574818,50.96377672122855,2.7,36,201,539,6.9,0.298835,4.3,1,1,0,Ah,360
5.72612532334376,50.965189340345646,2.5,36,204,560,7.54,0.0812247,4.4,1,1,1,Am,80
5.727584717979686,50.966200799780296,5.6,68,429,1136,6.42,0.070355,8.2,1,1,1,W,100
5.72857654880389,50.967501263983,9.4,88,462,1383,6.28,0.0122243,8.5,1,1,1,W,70
5.729934286924191,50.96822535029706,10.8,85,333,1161,6.34,0,9.6,1,1,1,W,20
5.745191773835794,50.96231844076202,18.1,76,464,1672,7.307,0.0537723,17,1,1,1,W,50
5.731867461665338,50.9697477177347,6.3,63,159,765,5.7,0.0593662,12.8,1,1,1,W,80
5.759162706953765,50.98799155811593,2.1,32,116,279,7.72,0.211843,5.9,1,2,0,W,290
5.735620220256947,50.970896048801194,1.8,25,81,241,7.932,0.12481,2.9,2,2,1,Ah,160
5.736838392393483,50.971962051274865,2.2,27,131,317,7.82,0.12481,4.5,2,1,0,W,160
5.7291567914176,50.96704111991399,2.8,36,216,545,8.575,0.0921516,10.7,2,1,0,W,140
5.728165883592345,50.96586650196311,2.4,41,145,505,8.536,0.113941,9.4,2,1,0,W,150
5.727040632532911,50.9638383286338,2.6,33,163,420,8.504,0.179216,9,2,1,0,Ah,220
5.72600477202318,50.96234022558242,1.8,27,129,332,8.659,0.233596,7,2,1,0,Am,280
5.729224537395764,50.96273525674825,2,38,148,400,7.633,0.336861,6.5,2,1,1,Am,450
5.723190268028927,50.96286079284189,2.7,37,214,553,8.538,0.070355,9.4,2,1,1,Am,70
5.724566616927907,50.96421410752505,2.7,34,226,577,7.68,0.0593662,10.2,2,1,0,Am,70
5.736587409660523,50.961373930353034,0.9,19,54,155,7.564,0.255341,6.4,2,1,0,W,340
5.733081601379546,50.960791192843615,0.9,22,70,224,7.76,0.364067,7.6,2,1,0,W,470
5.734588073669639,50.96427435989889,0.4,26,73,180,7.653,0.429295,7,2,1,0,Am,630
5.73541290730115,50.966060665287124,0.8,25,87,226,7.951,0.380328,5.6,2,1,0,Am,460
5.733009341684126,50.96634652390783,0.4,22,76,186,8.176,0.249874,6.5,2,1,0,Am,320
5.731394987662019,50.96556930368919,0.4,24,81,198,8.468,0.266212,6.6,2,1,0,Ah,320
5.731744154620941,50.962763741084295,0.4,18,68,187,8.41,0.451037,5.9,2,1,0,W,540
5.737612495860194,50.96328545963642,0.8,23,66,199,7.61,0.30971,6.5,2,1,0,W,420
5.739952465419987,50.964015440348895,0.4,22,49,157,7.792,0.293359,6.4,2,1,0,SPO,380
5.742786925953644,50.9661011746854,0.4,23,63,203,8.76,0.532351,7.2,2,2,0,W,500
5.744053964728347,50.969800688498545,0.4,23,48,143,9.879,0.619513,6.6,2,3,0,Am,760
5.745420452998995,50.97161221967147,0.2,23,51,136,9.097,0.684725,4.3,2,2,0,Ah,750
5.749540818602904,50.972372441692045,0.2,18,50,117,9.095,0.809742,5.3,2,3,0,Fw,1000
5.747767604420343,50.96954648412692,0.4,20,39,113,9.717,0.880389,4.1,2,3,0,Ah,860
5.7470136865316,50.96779600063139,0.2,22,48,130,9.924,0.749591,6.1,2,3,0,Ah,680
5.744696454630531,50.96636496026664,0.2,27,64,192,9.404,0.575752,7.5,2,3,0,Fw,500
5.741387282656197,50.967354916845856,0.4,25,84,240,10.52,0.581484,8.8,2,3,0,STA,650
5.739864753211618,50.967440464166494,0.2,30,67,221,8.84,0.49452,5.7,2,3,0,DEN,630
5.738214903461,50.96950392717736,0.2,23,49,140,8.472,0.32058,6.1,2,3,0,Fw,410
5.739274857074018,50.970354650903964,0.2,24,48,128,9.634,0.336851,7.1,2,3,0,Ah,390
5.739088984058577,50.97211703301122,0.2,21,56,166,9.206,0.249852,4.1,2,2,0,Ah,310
5.735229605926626,50.9719579091638,0.2,24,65,191,8.47,0.0756869,6,2,1,0,Ah,70
5.736349771543952,50.97323994403813,0.2,21,84,232,8.463,0.0756869,6.6,2,1,0,W,70
5.738069466558812,50.9747179080944,0.2,23,75,203,9.691,0.162853,6.8,2,1,1,STA,150
5.747612374456639,50.962427785806085,3.7,53,250,722,8.704,0.0974916,9.1,2,2,0,Bw,80
5.745451846449451,50.97565711195847,0.2,33,81,210,9.42,0.440142,5.9,2,2,0,Ah,450
5.743550128857138,50.97461128272439,0.2,22,72,198,9.573,0.4619,4.9,2,2,0,Aa,530
5.740260767659374,50.97641014263666,0.2,23,86,139,9.555,0.222701,7.1,2,1,0,W,240
5.738056366068005,50.97674044185035,0.2,25,94,253,8.779,0.103024,8.1,2,1,1,Tv,70
5.741016500623464,50.9784123525993,1.2,30,244,703,8.54,0.0921353,8.3,2,1,0,Fw,70
5.746950545537283,50.979787344061066,2.4,47,297,832,8.809,0.0484884,10,2,1,0,Ah,60
5.744687159965413,50.978032535656794,0.2,31,96,262,9.523,0.168331,5.9,2,1,0,Ah,190
5.749730884034376,50.97663256982583,0.2,20,56,142,9.811,0.38581,5,2,2,0,Ah,450
5.749949859015926,50.975508275649645,0.2,16,49,119,9.604,0.489064,4.5,2,2,0,Am,550
5.748076168886441,50.974417488373795,0.2,17,50,152,9.732,0.57602,5.4,2,2,0,Am,650
5.755509885355213,50.987122322530425,0.4,26,148,415,9.518,0.0812194,2.3,2,1,0,Am,100
5.753186143052659,50.98502629349827,1.6,34,162,474,9.72,0.0373369,7.5,2,1,0,W,170
5.745959811417728,50.969570077357055,0.8,18,37,126,9.036,0.771698,4.6,2,3,1,Ah,860
5.745614462760793,50.97642965118264,1.2,23,80,210,9.528,0.336829,5.8,2,2,0,W,410
5.756361188436252,50.98494430547504,0.2,20,80,220,9.155,0.228123,4.4,3,1,0,Aa,290
5.74978420777962,50.9743582194484,0.2,14,49,133,10.08,0.597761,4.4,3,2,0,Am,680
5.741928268867506,50.971065661317624,0.8,46,42,141,9.97,0.44558,4.5,3,2,0,Am,540
5.740570121820353,50.970323738530404,1,29,48,158,10.136,0.396675,5.2,3,2,0,Am,480
5.742964010179862,50.968761334390415,0.8,19,41,129,10.32,0.581478,4.6,3,3,0,W,720
5.730532094881366,50.964385336431654,1.2,31,73,206,9.041,0.287966,6.9,3,1,0,W,380
5.729306828210828,50.96423615290573,2,27,146,451,7.86,0.233596,7,3,1,0,W,310
5.730024222603955,50.96308345695508,1.5,29,95,296,8.741,0.364067,5.4,3,1,0,Ah,430
5.732147524565598,50.959598461566664,1.1,22,72,189,7.822,0.331454,6.2,3,1,0,Ah,370
5.735280466895065,50.95982279442093,0.8,20,51,154,7.78,0.211846,5,3,1,0,Fw,290
5.736609362899667,50.958632261591646,0.8,20,54,169,8.121,0.103029,5.1,3,1,0,W,150
5.735105959915449,50.95744127109481,2.1,29,136,403,8.231,0.070355,8.1,3,1,0,Bw,70
5.733573154179964,50.95801216564029,2.5,38,170,471,8.351,0.146576,8,3,1,0,Bw,220
5.732253318023465,50.956613845179035,3.8,39,179,612,7.3,0.0537723,8.8,3,1,0,W,80
5.7291093710576275,50.95679396200643,3.2,35,200,601,7.536,0.119286,9.3,3,1,0,W,120
5.725728070794308,50.95760390771718,3.1,42,258,783,7.706,0.0921435,8.4,3,1,0,Ah,120
5.730699596170313,50.95820050498238,1.5,24,93,258,8.07,0.249863,7.7,3,1,0,Am,260
5.729217996472235,50.95993075242184,1.2,20,68,214,8.226,0.37494,5.7,3,1,0,Ah,440
5.731416540182618,50.960823122124886,0.8,20,49,166,8.128,0.423837,4.7,3,1,0,Am,540
5.730014812106938,50.96181605580575,3.1,39,173,496,8.577,0.423837,9.1,3,1,0,Ah,520
5.727027069524048,50.961995652734146,2.1,31,119,342,8.429,0.27709,6.5,3,1,0,Ah,350
5.735443741751831,50.96259986122273,0.8,21,51,162,9.406,0.358606,5.7,3,1,0,W,460
5.751955324840882,50.96083214388236,2.7,27,124,375,8.261,0.0122243,5.5,3,3,0,W,40
